id,domain,keyword,topic,model,title,title_length,has_keyword,length_ok,latency,success,error
1,فناوری و دیجیتال,هوش مصنوعی,کاربردهای هوش مصنوعی در زندگی روزمره,gpt-4o-mini,,0,False,False,366.703,False,ناموفق بعد از 3 تلاش
2,فناوری و دیجیتال,یادگیری ماشین,آموزش یادگیری ماشین برای مبتدیان,gpt-4o-mini,,0,False,False,361.393,False,ناموفق بعد از 3 تلاش
3,فناوری و دیجیتال,پایتون,بهترین منابع یادگیری پایتون,gpt-4o-mini,,0,False,False,361.424,False,ناموفق بعد از 3 تلاش
4,فناوری و دیجیتال,دیپ لرنینگ,شبکه های عصبی عمیق و کاربردهای آن,gpt-4o-mini,,0,False,False,361.393,False,ناموفق بعد از 3 تلاش
5,فناوری و دیجیتال,ChatGPT,نحوه استفاده از ChatGPT برای کار و تحصیل,gpt-4o-mini,,0,False,False,999.334,False,ناموفق بعد از 3 تلاش
1,فناوری و دیجیتال,هوش مصنوعی,کاربردهای هوش مصنوعی در زندگی روزمره,gpt-4o-mini,,0,False,False,361.915,False,ناموفق بعد از 3 تلاش
1,فناوری و دیجیتال,هوش مصنوعی,کاربردهای هوش مصنوعی در زندگی روزمره,gpt-4o-mini,هوش مصنوعی و کاربردهای آن در زندگی روزمره ما - گام به گام,57,True,True,0.996,True,
2,فناوری و دیجیتال,یادگیری ماشین,آموزش یادگیری ماشین برای مبتدیان,gpt-4o-mini,آموزش یادگیری ماشین برای مبتدیان: راهنمای کامل شروع,51,True,True,1.202,True,
3,فناوری و دیجیتال,پایتون,بهترین منابع یادگیری پایتون,gpt-4o-mini,بهترین منابع یادگیری پایتون برای مبتدیان و پیشرفته‌ها,53,True,True,1.059,True,
4,فناوری و دیجیتال,دیپ لرنینگ,شبکه های عصبی عمیق و کاربردهای آن,gpt-4o-mini,کاربردهای دیپ لرنینگ در شبکه‌های عصبی عمیق چیست؟ [کاربردی],58,True,True,1.064,True,
5,فناوری و دیجیتال,ChatGPT,نحوه استفاده از ChatGPT برای کار و تحصیل,gpt-4o-mini,نحوه استفاده از ChatGPT در کار و تحصیل به بهترین نحو,52,True,True,0.966,True,
6,فناوری و دیجیتال,برنامه نویسی,راهنمای شروع برنامه نویسی از صفر,gpt-4o-mini,راهنمای جامع شروع برنامه نویسی از صفر تا حرفه‌ای | راهنما...,60,True,True,1.024,True,
7,فناوری و دیجیتال,امنیت سایبری,روش های محافظت از اطلاعات شخصی,gpt-4o-mini,روش‌های مؤثر برای افزایش امنیت سایبری و حفاظت از اطلاعات,56,True,True,1.049,True,
8,فناوری و دیجیتال,بلاک چین,آینده بلاک چین در اقتصاد دیجیتال,gpt-4o-mini,آینده بلاک چین در اقتصاد دیجیتال: تحولی نوین و پایدار,53,True,True,3.2,True,
9,فناوری و دیجیتال,متاورس,دنیای متاورس و فرصت های شغلی آن,gpt-4o-mini,فرصت‌های شغلی در دنیای متاورس: شغل‌های آینده را بشناسید,55,True,True,1.265,True,
10,فناوری و دیجیتال,اینترنت اشیا,کاربرد اینترنت اشیا در خانه های هوشمند,gpt-4o-mini,کاربرد اینترنت اشیا در خانه های هوشمند: زندگی آسان‌تر,53,True,True,0.852,True,
11,فناوری و دیجیتال,ابر رایانش,مزایای استفاده از خدمات ابری برای کسب وکار,gpt-4o-mini,مزایای ابر رایانش برای کسب وکارهای مدرن و پویا | راهنمای ...,60,True,True,1.679,True,
12,فناوری و دیجیتال,واقعیت مجازی,تجربه واقعیت مجازی در آموزش و سرگرمی,gpt-4o-mini,تجربه واقعیت مجازی در آموزش و سرگرمی: دنیای جدید یادگیری,56,True,True,0.955,True,
13,فناوری و دیجیتال,اپلیکیشن موبایل,مراحل ساخت اپلیکیشن موبایل,gpt-4o-mini,مراحل ساخت اپلیکیشن موبایل: راهنمای گام به گام شما,50,True,True,0.863,True,
14,فناوری و دیجیتال,دیتا ساینس,ورود به حوزه علم داده و مهارت های لازم,gpt-4o-mini,ورود به حوزه دیتا ساینس و مهارت‌های ضروری آن برای مبتدیان,57,True,True,1.095,True,
15,فناوری و دیجیتال,سئو,بهینه سازی سایت برای موتورهای جستجو,gpt-4o-mini,بهینه‌سازی سایت برای موتورهای جستجو با سئو حرفه‌ای,50,True,True,1.212,True,
16,فناوری و دیجیتال,طراحی UI,اصول طراحی رابط کاربری جذاب,gpt-4o-mini,اصول طراحی UI جذاب: راهنمایی برای خلق رابط کاربری دلنشین,56,True,True,1.024,True,
17,فناوری و دیجیتال,دیتابیس,مقایسه پایگاه های داده SQL و NoSQL,gpt-4o-mini,مقایسه پایگاه های داده SQL و NoSQL: انتخاب بهترین دیتابیس,57,True,True,1.224,True,
18,فناوری و دیجیتال,API,آموزش کار با API در پروژه های وب,gpt-4o-mini,آموزش کار با API در پروژه‌های وب: راهنمای کامل و کاربردی,56,True,True,8.534,True,
19,فناوری و دیجیتال,گیت,مدیریت پروژه با Git و GitHub,gpt-4o-mini,مدیریت پروژه با Git و GitHub: راهنمای جامع و کاربردی,52,False,True,1.071,True,
اینجوری بذارم ؟
